Logger initialized at 2025-04-14 16:40:46.285229
[2025-04-14 16:41:42] Episode 232: Total Reward = 3.25, Steps = 60
[2025-04-14 16:41:43] Episode 233: Total Reward = -2.50, Steps = 60
[2025-04-14 16:41:43] Episode 234: Total Reward = 5.80, Steps = 60
[2025-04-14 16:41:43] Episode 235: Total Reward = 6.95, Steps = 60
[2025-04-14 16:41:43] Episode 236: Total Reward = 5.15, Steps = 60
[2025-04-14 16:41:44] Episode 237: Total Reward = 2.15, Steps = 60
[2025-04-14 16:41:44] Episode 238: Total Reward = -2.40, Steps = 60
[2025-04-14 16:41:44] Episode 239: Total Reward = 1.25, Steps = 60
[2025-04-14 16:41:44] Episode 240: Total Reward = 0.90, Steps = 60
[2025-04-14 16:41:45] Episode 241: Total Reward = 1.35, Steps = 60
[2025-04-14 16:41:45] Episode 242: Total Reward = -2.95, Steps = 60
[2025-04-14 16:41:45] Episode 243: Total Reward = 4.60, Steps = 60
[2025-04-14 16:41:45] Episode 244: Total Reward = 0.05, Steps = 60
[2025-04-14 16:41:46] Episode 245: Total Reward = 0.30, Steps = 60
[2025-04-14 16:41:46] Episode 246: Total Reward = 2.65, Steps = 60
[2025-04-14 16:41:46] Episode 247: Total Reward = 0.90, Steps = 60
[2025-04-14 16:41:46] Episode 248: Total Reward = 4.65, Steps = 60
[2025-04-14 16:41:47] Episode 249: Total Reward = 6.70, Steps = 60
[2025-04-14 16:41:47] Episode 250: Total Reward = 5.55, Steps = 60
[2025-04-14 16:41:47] Episode 251: Total Reward = -2.85, Steps = 60
[2025-04-14 16:41:47] Episode 252: Total Reward = 2.30, Steps = 60
[2025-04-14 16:41:48] Episode 253: Total Reward = 3.25, Steps = 60
[2025-04-14 16:41:48] Episode 254: Total Reward = 1.90, Steps = 60
[2025-04-14 16:41:48] Episode 255: Total Reward = 3.80, Steps = 60
[2025-04-14 16:41:48] Episode 256: Total Reward = 2.15, Steps = 60
[2025-04-14 16:41:49] Episode 257: Total Reward = 1.80, Steps = 60
[2025-04-14 16:41:49] Episode 258: Total Reward = -4.00, Steps = 60
[2025-04-14 16:41:49] Episode 259: Total Reward = -0.00, Steps = 60
[2025-04-14 16:41:49] Episode 260: Total Reward = 3.70, Steps = 60
[2025-04-14 16:41:50] Episode 261: Total Reward = 1.25, Steps = 60
[2025-04-14 16:41:50] Episode 262: Total Reward = 0.70, Steps = 60
[2025-04-14 16:41:50] Episode 263: Total Reward = -0.45, Steps = 60
[2025-04-14 16:41:51] Episode 264: Total Reward = -0.90, Steps = 60
[2025-04-14 16:41:51] Episode 265: Total Reward = 3.90, Steps = 60
[2025-04-14 16:41:51] Episode 266: Total Reward = 1.40, Steps = 60
[2025-04-14 16:41:51] Episode 267: Total Reward = -3.00, Steps = 60
[2025-04-14 16:41:52] Episode 268: Total Reward = 3.30, Steps = 60
[2025-04-14 16:41:52] Episode 269: Total Reward = 4.70, Steps = 60
[2025-04-14 16:41:52] Episode 270: Total Reward = 8.70, Steps = 60
[2025-04-14 16:41:52] Episode 271: Total Reward = 0.90, Steps = 60
[2025-04-14 16:41:53] Episode 272: Total Reward = 0.05, Steps = 60
[2025-04-14 16:41:53] Episode 273: Total Reward = 4.60, Steps = 60
[2025-04-14 16:41:53] Episode 274: Total Reward = 2.90, Steps = 60
[2025-04-14 16:41:53] Episode 275: Total Reward = 0.70, Steps = 60
[2025-04-14 16:41:54] Episode 276: Total Reward = 1.05, Steps = 60
[2025-04-14 16:41:54] Episode 277: Total Reward = 4.50, Steps = 60
[2025-04-14 16:41:54] Episode 278: Total Reward = 2.85, Steps = 60
[2025-04-14 16:41:54] Episode 279: Total Reward = 4.00, Steps = 60
[2025-04-14 16:41:55] Episode 280: Total Reward = 0.35, Steps = 60
[2025-04-14 16:41:55] Episode 281: Total Reward = 3.90, Steps = 60
[2025-04-14 16:41:55] Episode 282: Total Reward = 2.55, Steps = 60
[2025-04-14 16:41:55] Episode 283: Total Reward = 6.75, Steps = 60
[2025-04-14 16:41:56] Episode 284: Total Reward = -6.80, Steps = 60
[2025-04-14 16:41:56] Episode 285: Total Reward = 4.35, Steps = 60
[2025-04-14 16:41:56] Episode 286: Total Reward = 5.35, Steps = 60
[2025-04-14 16:41:56] Episode 287: Total Reward = -0.45, Steps = 60
[2025-04-14 16:41:57] Episode 288: Total Reward = 3.95, Steps = 60
[2025-04-14 16:41:57] Episode 289: Total Reward = 5.00, Steps = 60
[2025-04-14 16:41:57] Episode 290: Total Reward = 0.85, Steps = 60
[2025-04-14 16:41:57] Episode 291: Total Reward = 1.70, Steps = 60
[2025-04-14 16:41:58] Episode 292: Total Reward = 2.00, Steps = 60
[2025-04-14 16:41:58] Episode 293: Total Reward = 0.15, Steps = 60
[2025-04-14 16:41:58] Episode 294: Total Reward = 0.35, Steps = 60
[2025-04-14 16:41:58] Episode 295: Total Reward = -3.70, Steps = 60
[2025-04-14 16:41:59] Episode 296: Total Reward = 3.25, Steps = 60
[2025-04-14 16:41:59] Episode 297: Total Reward = -5.05, Steps = 60
[2025-04-14 16:41:59] Episode 298: Total Reward = 0.15, Steps = 60
[2025-04-14 16:41:59] Episode 299: Total Reward = 2.10, Steps = 60
[2025-04-14 16:41:59] Episode 300: Total Reward = -2.05, Steps = 60
[2025-04-14 16:42:00] Episode 301: Total Reward = 2.70, Steps = 60
[2025-04-14 16:42:00] Episode 302: Total Reward = -2.50, Steps = 60
[2025-04-14 16:42:00] Episode 303: Total Reward = 2.40, Steps = 60
[2025-04-14 16:42:01] Episode 304: Total Reward = -4.65, Steps = 60
[2025-04-14 16:42:01] Episode 305: Total Reward = -4.75, Steps = 60
[2025-04-14 16:42:01] Episode 306: Total Reward = -3.40, Steps = 60
[2025-04-14 16:42:01] Episode 307: Total Reward = 3.50, Steps = 60
[2025-04-14 16:42:02] Episode 308: Total Reward = -0.20, Steps = 60
[2025-04-14 16:42:02] Episode 309: Total Reward = -4.25, Steps = 60
[2025-04-14 16:42:02] Episode 310: Total Reward = -5.20, Steps = 60
[2025-04-14 16:42:03] Episode 311: Total Reward = -1.65, Steps = 60
[2025-04-14 16:42:03] Episode 312: Total Reward = -5.65, Steps = 60
[2025-04-14 16:42:03] Episode 313: Total Reward = 5.25, Steps = 60
[2025-04-14 16:42:03] Episode 314: Total Reward = -6.55, Steps = 60
[2025-04-14 16:42:04] Episode 315: Total Reward = 6.80, Steps = 60
[2025-04-14 16:42:04] Episode 316: Total Reward = 0.45, Steps = 60
[2025-04-14 16:42:04] Episode 317: Total Reward = -6.20, Steps = 60
[2025-04-14 16:42:05] Episode 318: Total Reward = -3.60, Steps = 60
[2025-04-14 16:42:05] Episode 319: Total Reward = 0.10, Steps = 60
[2025-04-14 16:42:05] Episode 320: Total Reward = 0.30, Steps = 60
[2025-04-14 16:42:05] Episode 321: Total Reward = -4.45, Steps = 60
[2025-04-14 16:42:06] Episode 322: Total Reward = -4.10, Steps = 60
[2025-04-14 16:42:06] Episode 323: Total Reward = -2.50, Steps = 60
[2025-04-14 16:42:06] Episode 324: Total Reward = -0.10, Steps = 60
[2025-04-14 16:42:07] Episode 325: Total Reward = 2.95, Steps = 60
[2025-04-14 16:42:07] Episode 326: Total Reward = -0.05, Steps = 60
[2025-04-14 16:42:07] Episode 327: Total Reward = 3.10, Steps = 60
[2025-04-14 16:42:07] Episode 328: Total Reward = -5.75, Steps = 60
[2025-04-14 16:42:08] Episode 329: Total Reward = -1.25, Steps = 60
[2025-04-14 16:42:08] Episode 330: Total Reward = -2.50, Steps = 60
[2025-04-14 16:42:08] Episode 331: Total Reward = -4.05, Steps = 60
[2025-04-14 16:42:09] Episode 332: Total Reward = 3.15, Steps = 60
[2025-04-14 16:42:09] Episode 333: Total Reward = -3.40, Steps = 60
[2025-04-14 16:42:10] Episode 334: Total Reward = 8.85, Steps = 60
[2025-04-14 16:42:10] Episode 335: Total Reward = 0.30, Steps = 60
[2025-04-14 16:42:10] Episode 336: Total Reward = -0.10, Steps = 60
[2025-04-14 16:42:11] Episode 337: Total Reward = -0.15, Steps = 60
[2025-04-14 16:42:11] Episode 338: Total Reward = 0.75, Steps = 60
[2025-04-14 16:42:11] Episode 339: Total Reward = -6.85, Steps = 60
[2025-04-14 16:42:11] Episode 340: Total Reward = -2.10, Steps = 60
[2025-04-14 16:42:12] Episode 341: Total Reward = 2.30, Steps = 60
[2025-04-14 16:42:12] Episode 342: Total Reward = -3.10, Steps = 60
